ID,NED identifier or alternate ID,I/O,year,type,line,z_opt,ez_opt,z_line,ez_line,FWHM,eFWHM,SdV,eSdV,u,eu,reference,Comments,Literature L’ [K km/s pc2],Literature eL’ [K km/s pc2],Literature LIR(8-1000micron) [Lsun],Literature eLIR(8-1000micron) [Lsun],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGS13004291,,0,2010,SFG,12CO(3-2)   ,1.19705,-999,1.2,-999,300,-999,3.7,0.15,1,-999,Tacconi et al. (2010),The FWHM is maximum rotational velocity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGS13004291,,1,2013,SFG,12CO(3-2)   ,1.19705,-999,1.145,-999,311,-999,4.6,0.09,1,-999,Tacconi et al. (2013),The FWHM is maximum rotational velocity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGS13004661,,0,2010,SFG,12CO(3-2)   ,-999,-999,1.19,-999,180,-999,0.32,0.06,1,-999,Tacconi et al. (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGS13004661,,1,2010,SFG,12CO(3-2)   ,-999,-999,1.192,-999,171,-999,0.43,0.01,1,-999,Tacconi et al. (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGS13004684,,1,2013,SFG,12CO(3-2)   ,-999,-999,1.014,-999,295,-999,1.51,0.11,1,-999,Tacconi et al. (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGS13011148,,1,2013,SFG,12CO(3-2)   ,-999,-999,1.173,-999,247,-999,0.62,0.04,1,-999,Tacconi et al. (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
